Client facturé - Numéro du client,Client facturé - Nom,Client facturé - Adresse 1,Client facturé - Ville,Client facturé - Code postal,Client facturé - Téléphone,Client livré à - Numéro du client,Client livré à - Nom,Client livré à - Adresse 1,Client livré à - Ville,Client livré à - Code postal,Client livré à - Téléphone,Numéro de taxe fédérale,Numéro de taxe provinciale,Numéro du vendeur,Mode de transport,Remarque,Sous-total sans taxe,Taxe fédérale,Taxe provinciale,Sous-total avec taxe ajoutée,Solde de la facture,Total à payer (avec taxes et escompte),Sous-total avec escompte,Numéro de la facture,Date de la facture,Note de crédit (T/F),Montant total d'escompte,Numéro de commande,Numéro de commande client,Montant fixe d'escompte général,Pourcentage d'escompte général,Niveau de taxe provinciale,Taux 1 de taxe provinciale,Numéro de G/L taxe provinciale taux 1,Montant d'encaissement comptant,Date d'encaissement comptant,Montant d'encaissement par carte,Date d'encaissement par carte,Nom de la carte de crédit,Numéro de carte,Date d'expiration de la carte,Numéro d'autorisation de la carte,Montant d'encaissement autre,Date d'encaissement autre,Mode de paiement autre,Détails supplémentaires enc. autre,Taux 1 de taxe fédérale,Taux 2 de taxe fédérale,Montant d'encaissement crédit flottant,Date d'encaissement crédit flottant,Montant de taxe fédérale incluse,Montant de taxe provinciale incluse,Facture imprimée (T/F),Taxe fédérale avant provinciale (O/N),Taxe fédérale après provinciale (O/N),Taxe provinciale après escompte (O/N),Montant fixe de taxe fédérale,Numéro de G/L taxe provinciale taux 2,Taux 2 de taxe provinciale,Montant de taxe provinciale taux 2,Montant de taxe provinciale incluse taux 2,Pourcentage de retenue,Taxe provinciale sur retenues taux 1,Taxe provinciale sur retenues taux 2,Taxe fédérale sur retenues,Numéro de projet,Montant de retenue sans taxe,Montant total de la retenue,Code d'identification,Montant de transport,Numéro de G/L transport,Date de vente ou d'échéance,Code de taxe prov. pour transport (0-2),Code de taxe féd. pour transport (0-3),Taxe prov. incluse pour transport (T/F),Taxe féd. incluse pour transport (T/F),Remboursement taxe fédérale,Remboursement taxe provinciale niveau 1,Remboursement taxe provinciale niveau 2,Montant de dépôt,Station,No du cpte ouvert original,Conditions de paiement,Devise étrangère,Numéro de référence EDI,Encaissements par DPA (T/F),Montant encaissé par DPA,Client facturé - Adresse 2,Client facturé - Code de province,Client facturé - Code de pays,Client livré à - Adresse 2,Client livré à - Code de province,Client livré à - Code de pays,Description autres frais,Numéro de grand livre autres frais,Pourcentage autres frais,Code taxe provinciale,Code taxe fédérale,Taxe incluse provinciale,Taxe incluse fédérale,Montant autres frais,Client facturé - Description autre province,Client livré à - Description autre province,Montant d'encaissement par chèque,Montant d'encaissement par carte de débit,Numéro de chèque du client,Date d'encaissement par chèque,Date d'encaissement par carte de débit,Montant de l'arrondissement,Usage interne,Usage interne,Usage interne,FFDEJA,FFGL1,FFGL2,FFGL3,FFGL4,FFDEBGL,FFCHQGL,HASDOC,FFACTID,HASCOLI,CRYPTED
SEPAQ-----,SEPAQ,"801, chemin St-Louis, bureau 180",Québec (Québec),G1S 1C1,,,M E M E,,,,,,,,,,6400.00,448.00,513.60,7361.60,7361.60,7361.60,6400.00,000305,2003/03/12,TRUE,0.00,,,0.00,0.0000,1,0.075000,21360,0.00,,0.00,,,,,,0.00,,,,0.0700,0.0000,0.00,,0.00,0.00,TRUE,O,N,O,0.0000,,0.000000,0.00,0.00,0.0000,0.00,0.00,0.00,,0.00,0.00,,0.00,31900,2003/03/12,1,1,FALSE,FALSE,0.00,0.00,0.00,0.00,CLIENT-XIZVCM18,,,,,FALSE,0.00,,,,,,,,,0.0000,0,0,FALSE,FALSE,0.00,,,0.00,0.00,,,,0.00,2024-01-08 14:52:15.000,,0,0,,,,,,,FALSE,,FALSE,AVANTAGE
HONCO-----,HONCO,"1190, chemin Industriel",St-Nicolas (Québec),G7A 1B1,418-831-6302,,M E M E,,,,,,,,,,11500.00,805.00,922.88,13227.88,13227.88,13227.88,11500.00,000307,2003/03/25,FALSE,0.00,,,0.00,0.0000,1,0.075000,21360,0.00,,0.00,,,,,,0.00,,,,0.0700,0.0000,0.00,,0.00,0.00,TRUE,O,N,O,0.0000,,0.000000,0.00,0.00,0.0000,0.00,0.00,0.00,0000003001,0.00,0.00,,0.00,31900,2003/03/25,1,1,FALSE,FALSE,0.00,0.00,0.00,0.00,CLIENT-XIZVCM18,,,,,FALSE,0.00,,,,,,,,,0.0000,0,0,FALSE,FALSE,0.00,,,0.00,0.00,,,,0.00,2024-01-08 14:52:15.000,,0,0,,,,,,,FALSE,,FALSE,AVANTAGE
REST-LEBOU,RESTAURANT LE BOURDAIS,"391, route 153",St-Tite (Québec),G0X 3H0,,,M E M E,,,,,,,,,,28715.32,2010.07,2304.40,33029.79,33029.79,33029.79,28715.32,000308,2003/03/31,FALSE,0.00,,,0.00,0.0000,1,0.075000,21360,0.00,,0.00,,,,,,0.00,,,,0.0700,0.0000,0.00,,0.00,0.00,TRUE,O,N,O,0.0000,,0.000000,0.00,0.00,0.0000,0.00,0.00,0.00,0000003003,0.00,0.00,,0.00,31900,2003/03/31,1,1,FALSE,FALSE,0.00,0.00,0.00,0.00,CLIENT-XIZVCM18,,,,,FALSE,0.00,,,,,,,,,0.0000,0,0,FALSE,FALSE,0.00,,,0.00,0.00,,,,0.00,2024-01-08 14:52:15.000,,0,0,,,,,,,FALSE,,FALSE,AVANTAGE
COMM-SCOL.,COMMISSION SCOLAIRE DE L'ENERGIE,"2072, rue Gignac",Shawinigan (Québec),G9N 6V7,,,M E M E,,,,,,,,,,300.00,21.00,24.08,345.08,345.08,345.08,300.00,000309,2003/03/31,FALSE,0.00,,,0.00,0.0000,1,0.075000,21360,0.00,,0.00,,,,,,0.00,,,,0.0700,0.0000,0.00,,0.00,0.00,TRUE,O,N,O,0.0000,,0.000000,0.00,0.00,0.0000,0.00,0.00,0.00,,0.00,0.00,,0.00,31900,2003/03/31,1,1,FALSE,FALSE,0.00,0.00,0.00,0.00,CLIENT-XIZVCM18,,,,,FALSE,0.00,,,,,,,,,0.0000,0,0,FALSE,FALSE,0.00,,,0.00,0.00,,,,0.00,2024-01-08 14:52:15.000,,0,0,,,,,,,FALSE,,FALSE,AVANTAGE
GERARD-CRE,GERARD CRETE & FILS INC.,"380, Route 159",Prouxville (Québec),G0X 2B0,418-365-7501,,M E M E,,,,,,,,,,750.00,52.50,60.19,862.69,862.69,862.69,750.00,000310,2003/04/08,FALSE,0.00,,,0.00,0.0000,1,0.075000,21360,0.00,,0.00,,,,,,0.00,,,,0.0700,0.0000,0.00,,0.00,0.00,TRUE,O,N,O,0.0000,,0.000000,0.00,0.00,0.0000,0.00,0.00,0.00,,0.00,0.00,,0.00,31900,2003/04/08,1,1,FALSE,FALSE,0.00,0.00,0.00,0.00,CLIENT-XIZVCM18,,,,,FALSE,0.00,,,,,,,,,0.0000,0,0,FALSE,FALSE,0.00,,,0.00,0.00,,,,0.00,2024-01-08 14:52:15.000,,0,0,,,,,,,FALSE,,FALSE,AVANTAGE
ST-ARNAUD-,ST-ARNAUD & BRIERE FABRICE,"494, chemin St-Joseph",St-Joseph de Mékinac (QC),G0X 2E0,,,M E M E,,,,,,,,,,4209.52,294.67,337.81,4842.00,4842.00,4842.00,4209.52,000311,2003/04/08,TRUE,0.00,,,0.00,0.0000,1,0.075000,21360,0.00,,0.00,,,,,,0.00,,,,0.0700,0.0000,0.00,,0.00,0.00,TRUE,O,N,O,0.0000,,0.000000,0.00,0.00,0.0000,0.00,0.00,0.00,,0.00,0.00,,0.00,31900,2003/04/08,1,1,FALSE,FALSE,0.00,0.00,0.00,0.00,CLIENT-XIZVCM18,,,,,FALSE,0.00,,,,,,,,,0.0000,0,0,FALSE,FALSE,0.00,,,0.00,0.00,,,,0.00,2024-01-08 14:52:15.000,,0,0,,,,,,,FALSE,,FALSE,AVANTAGE
ATELIER-JT,ATELIER JEAN TRUDEL,"253, route 153",St-Tite (Québec),G0X 3H0,,,M E M E,,,,,,,,,,21872.90,1531.10,1755.30,25159.30,25159.30,25159.30,21872.90,000312,2003/04/08,FALSE,0.00,,,0.00,0.0000,1,0.075000,21360,0.00,,0.00,,,,,,0.00,,,,0.0700,0.0000,0.00,,0.00,0.00,TRUE,O,N,O,0.0000,,0.000000,0.00,0.00,0.0000,0.00,0.00,0.00,0000003004,0.00,0.00,,0.00,31900,2003/04/08,1,1,FALSE,FALSE,0.00,0.00,0.00,0.00,CLIENT-XIZVCM18,,,,,FALSE,0.00,,,,,,,,,0.0000,0,0,FALSE,FALSE,0.00,,,0.00,0.00,,,,0.00,2024-01-08 14:52:15.000,,0,0,,,,,,,FALSE,,FALSE,AVANTAGE
CRETE-ST-R,GERARD CRETE & FILS (ST-ROCH),"88, route 159",St-Roch de Mékinac (QC),G0X 2E0,,,M E M E,,,,,,,,,,1992.00,139.44,159.86,2291.30,2291.30,2291.30,1992.00,000313,2003/04/16,FALSE,0.00,,,0.00,0.0000,1,0.075000,21360,0.00,,0.00,,,,,,0.00,,,,0.0700,0.0000,0.00,,0.00,0.00,TRUE,O,N,O,0.0000,,0.000000,0.00,0.00,0.0000,0.00,0.00,0.00,0000003009,0.00,0.00,,0.00,31900,2003/04/16,1,1,FALSE,FALSE,0.00,0.00,0.00,0.00,CLIENT-XIZVCM18,,,,,FALSE,0.00,,,,,,,,,0.0000,0,0,FALSE,FALSE,0.00,,,0.00,0.00,,,,0.00,2024-01-08 14:52:15.000,,0,0,,,,,,,FALSE,,FALSE,AVANTAGE
C-L-D-MEKI,C.L.D. MEKINAC,"560, rue Notre-Dame",St-Tite (Québec),G0X 3H0,418-365-6365,,M E M E,,,,,,,,,,2395.00,167.65,192.20,2754.85,2754.85,2754.85,2395.00,000314,2003/04/30,FALSE,0.00,,,0.00,0.0000,1,0.075000,21360,0.00,,0.00,,,,,,0.00,,,,0.0700,0.0000,0.00,,0.00,0.00,TRUE,O,N,O,0.0000,,0.000000,0.00,0.00,0.0000,0.00,0.00,0.00,0000003006,0.00,0.00,,0.00,31900,2003/04/30,1,1,FALSE,FALSE,0.00,0.00,0.00,0.00,CLIENT-XIZVCM18,,,,,FALSE,0.00,,,,,,,,,0.0000,0,0,FALSE,FALSE,0.00,,,0.00,0.00,,,,0.00,2024-01-08 14:52:15.000,,0,0,,,,,,,FALSE,,FALSE,AVANTAGE
C-L-D-MEKI,C.L.D. MEKINAC,"560, rue Notre-Dame",St-Tite (Québec),G0X 3H0,418-365-6365,,M E M E,,,,,,,,,,959.00,67.13,76.96,1103.09,1103.09,1103.09,959.00,000315,2003/04/30,FALSE,0.00,,,0.00,0.0000,1,0.075000,21360,0.00,,0.00,,,,,,0.00,,,,0.0700,0.0000,0.00,,0.00,0.00,TRUE,O,N,O,0.0000,,0.000000,0.00,0.00,0.0000,0.00,0.00,0.00,00003006-1,0.00,0.00,,0.00,31900,2003/04/30,1,1,FALSE,FALSE,0.00,0.00,0.00,0.00,CLIENT-XIZVCM18,,,,,FALSE,0.00,,,,,,,,,0.0000,0,0,FALSE,FALSE,0.00,,,0.00,0.00,,,,0.00,2024-01-08 14:52:15.000,,0,0,,,,,,,FALSE,,FALSE,AVANTAGE
GOURDE-ERI,"GOURDE, ERIC","1051, Grand-Rang",St-Tite (Québec),G0X 3H0,418-365-3003,,M E M E,,,,,,,,,,6682.03,467.74,536.23,7686.00,7686.00,7686.00,6682.03,000316,2003/04/30,FALSE,0.00,,,0.00,0.0000,1,0.075000,21360,0.00,,0.00,,,,,,0.00,,,,0.0700,0.0000,0.00,,0.00,0.00,TRUE,O,N,O,0.0000,,0.000000,0.00,0.00,0.0000,0.00,0.00,0.00,0000003002,0.00,0.00,,0.00,31900,2003/04/30,1,1,FALSE,FALSE,0.00,0.00,0.00,0.00,CLIENT-XIZVCM18,,,,,FALSE,0.00,,,,,,,,,0.0000,0,0,FALSE,FALSE,0.00,,,0.00,0.00,,,,0.00,2024-01-08 14:52:15.000,,0,0,,,,,,,FALSE,,FALSE,AVANTAGE
GOURDE-ERI,"GOURDE, ERIC","1051, Grand-Rang",St-Tite (Québec),G0X 3H0,418-365-3003,,M E M E,,,,,,,,,,119.00,8.33,9.55,136.88,136.88,136.88,119.00,000317,2003/04/30,FALSE,0.00,,,0.00,0.0000,1,0.075000,21360,0.00,,0.00,,,,,,0.00,,,,0.0700,0.0000,0.00,,0.00,0.00,TRUE,O,N,O,0.0000,,0.000000,0.00,0.00,0.0000,0.00,0.00,0.00,0000003002,0.00,0.00,,0.00,31900,2003/04/30,1,1,FALSE,FALSE,0.00,0.00,0.00,0.00,CLIENT-XIZVCM18,,,,,FALSE,0.00,,,,,,,,,0.0000,0,0,FALSE,FALSE,0.00,,,0.00,0.00,,,,0.00,2024-01-08 14:52:15.000,,0,0,,,,,,,FALSE,,FALSE,AVANTAGE
C-POP-ST-S,CAISSE POPULAIRE DE ST-SEVERIN DE PROULXVILLE,"40, rue St-François",Proulxville (Québec),G0X 3E0,,,M E M E,,,,,,,,,,390.00,27.30,31.30,448.60,448.60,448.60,390.00,000320,2003/04/30,FALSE,0.00,,,0.00,0.0000,1,0.075000,21360,0.00,,0.00,,,,,,0.00,,,,0.0700,0.0000,0.00,,0.00,0.00,TRUE,O,N,O,0.0000,,0.000000,0.00,0.00,0.0000,0.00,0.00,0.00,,0.00,0.00,,0.00,31900,2003/04/30,1,1,FALSE,FALSE,0.00,0.00,0.00,0.00,CLIENT-XIZVCM18,,,,,FALSE,0.00,,,,,,,,,0.0000,0,0,FALSE,FALSE,0.00,,,0.00,0.00,,,,0.00,2024-01-08 14:52:15.000,,0,0,,,,,,,FALSE,,FALSE,AVANTAGE
BROULLET-F,"BROULLETTE, FERNAND","170, boul. St-Maurice",St-Séverin (Québec),G0X 2B0,,,M E M E,,,,,,,,,,7476.64,523.36,600.00,8600.00,8600.00,8600.00,7476.64,000318,2003/05/05,FALSE,0.00,,,0.00,0.0000,1,0.075000,21360,0.00,,0.00,,,,,,0.00,,,,0.0700,0.0000,0.00,,0.00,0.00,TRUE,O,N,O,0.0000,,0.000000,0.00,0.00,0.0000,0.00,0.00,0.00,0000003012,0.00,0.00,,0.00,31900,2003/05/05,1,1,FALSE,FALSE,0.00,0.00,0.00,0.00,CLIENT-XIZVCM18,,,,,FALSE,0.00,,,,,,,,,0.0000,0,0,FALSE,FALSE,0.00,,,0.00,0.00,,,,0.00,2024-01-08 14:52:15.000,,0,0,,,,,,,FALSE,,FALSE,AVANTAGE
LAVOIE-DAN,"LAVOIE, DANIEL & VEILLETTE, DENISE","3561, des Capucines",Mont Carmel (Québec),G0X 3J0,819-386-7647,,M E M E,,,,,,,,,,26081.29,1825.69,2093.02,30000.00,30000.00,30000.00,26081.29,000319,2003/05/07,FALSE,0.00,,,0.00,0.0000,1,0.075000,21360,0.00,,0.00,,,,,,0.00,,,,0.0700,0.0000,0.00,,0.00,0.00,TRUE,O,N,O,0.0000,,0.000000,0.00,0.00,0.0000,0.00,0.00,0.00,0000003008,0.00,0.00,,0.00,31900,2003/05/07,1,1,FALSE,FALSE,0.00,0.00,0.00,0.00,CLIENT-XIZVCM18,,,,,FALSE,0.00,,,,,,,,,0.0000,0,0,FALSE,FALSE,0.00,,,0.00,0.00,,,,0.00,2024-01-08 14:52:15.000,,0,0,,,,,,,FALSE,,FALSE,AVANTAGE
DESILET-RE,"DESILET, RENE","34, Lac Jésuite",Ste-Thècle (Québec),G0X 3G0,819-692-2721,,M E M E,,,,,,,,,,26081.29,1825.69,2093.02,30000.00,30000.00,30000.00,26081.29,000321,2003/05/15,FALSE,0.00,,,0.00,0.0000,1,0.075000,21360,0.00,,0.00,,,,,,0.00,,,,0.0700,0.0000,0.00,,0.00,0.00,TRUE,O,N,O,0.0000,,0.000000,0.00,0.00,0.0000,0.00,0.00,0.00,0000003011,0.00,0.00,,0.00,31900,2003/05/15,1,1,FALSE,FALSE,0.00,0.00,0.00,0.00,CLIENT-XIZVCM18,,,,,FALSE,0.00,,,,,,,,,0.0000,0,0,FALSE,FALSE,0.00,,,0.00,0.00,,,,0.00,2024-01-08 14:52:15.000,,0,0,,,,,,,FALSE,,FALSE,AVANTAGE
